Age,Gender,Usage_Hours,Preferred_Genre,Subscription_Plan
18,1,5,Pop,Premium
22,0,12,Hip-Hop,Premium
35,1,3,Rock,Basic
45,0,1,Jazz,Free
19,1,15,EDM,Premium
25,0,7,Pop,Basic
30,1,2,Classical,Free
50,0,10,Rock,Premium
12,1,8,Animation,Free
14,0,20,Pop,Premium
28,1,5,Hip-Hop,Basic
42,0,4,Jazz,Free
33,1,9,Rock,Premium
21,0,14,EDM,Premium
16,1,2,Pop,Free
24,0,6,Hip-Hop,Basic
38,1,1,Classical,Free
55,0,12,Jazz,Premium
15,1,10,Animation,Basic
20,0,18,EDM,Premium
27,1,4,Pop,Basic
31,0,3,Rock,Free
48,1,8,Jazz,Premium
60,0,2,Classical,Free
13,1,12,Animation,Premium
23,0,5,Hip-Hop,Basic
36,1,1,Rock,Free
44,0,9,Jazz,Premium
17,1,16,EDM,Premium
26,0,7,Pop,Basic
32,1,2,Classical,Free
52,0,11,Rock,Premium
11,1,6,Animation,Free
29,0,13,Hip-Hop,Premium
39,1,4,Rock,Basic
47,0,1,Jazz,Free
19,1,19,EDM,Premium
25,0,8,Pop,Premium
34,1,3,Classical,Free
58,0,10,Jazz,Premium
14,1,9,Animation,Basic
21,0,15,EDM,Premium
28,1,5,Pop,Basic
33,0,2,Rock,Free
46,1,7,Jazz,Premium
62,0,1,Classical,Free
15,1,13,Animation,Premium
22,0,6,Hip-Hop,Basic
37,1,2,Rock,Free
43,0,10,Jazz,Premium
18,1,17,EDM,Premium
24,0,9,Pop,Premium
30,1,3,Classical,Free
54,0,12,Rock,Premium
12,1,7,Animation,Free
27,0,14,Hip-Hop,Premium
35,1,5,Rock,Basic
49,0,1,Jazz,Free
20,1,20,EDM,Premium
26,0,8,Pop,Premium
31,1,2,Classical,Free
56,0,11,Jazz,Premium
16,1,10,Animation,Basic
23,0,16,EDM,Premium
29,1,6,Pop,Basic
32,0,3,Rock,Free
45,1,8,Jazz,Premium
65,0,2,Classical,Free
13,1,14,Animation,Premium
25,0,7,Hip-Hop,Basic
38,1,2,Rock,Free
41,0,11,Jazz,Premium
19,1,18,EDM,Premium
24,0,10,Pop,Premium
30,1,4,Classical,Free
51,0,13,Rock,Premium
11,1,8,Animation,Free
28,0,15,Hip-Hop,Premium
36,1,5,Rock,Basic
48,0,1,Jazz,Free
21,1,21,EDM,Premium
25,0,9,Pop,Premium
33,1,3,Classical,Free
59,0,12,Jazz,Premium
14,1,11,Animation,Basic
22,0,17,EDM,Premium
27,1,7,Pop,Basic
34,0,2,Rock,Free
47,1,9,Jazz,Premium
61,0,1,Classical,Free
15,1,15,Animation,Premium
23,0,8,Hip-Hop,Basic
39,1,2,Rock,Free
42,0,12,Jazz,Premium
18,1,19,EDM,Premium
26,0,11,Pop,Premium
31,1,4,Classical,Free
55,0,14,Rock,Premium
12,1,9,Animation,Free
30,0,16,Hip-Hop,Premium
